game,pair,thompson_colour,uct_colour,outcome,winner_colour,thompson_discs,uct_discs,disc_difference,actions,passes,match_runtime_seconds,thompson_search_seconds,uct_search_seconds,thompson_decisions,uct_decisions,thompson_seconds_per_decision,uct_seconds_per_decision,thompson_seed,uct_seed
1,1,BLACK,WHITE,THOMPSON_WIN,BLACK,26,10,16,33,1,6.882435,3.59889,3.277891,17,16,0.211699,0.204868,100000,100001
2,1,WHITE,BLACK,UCT_WIN,BLACK,12,24,-12,33,1,6.893596,3.299713,3.588386,16,17,0.206232,0.211082,100001,100000
3,2,BLACK,WHITE,THOMPSON_WIN,BLACK,27,9,18,33,1,6.874818,3.602044,3.266827,17,16,0.211885,0.204177,100002,100003
4,2,WHITE,BLACK,THOMPSON_WIN,WHITE,30,6,24,32,0,6.916204,3.318152,3.59262,16,16,0.207384,0.224539,100003,100002
5,3,BLACK,WHITE,THOMPSON_WIN,BLACK,32,4,28,33,1,10.756123,5.579632,5.166215,17,16,0.328214,0.322888,100004,100005
6,3,WHITE,BLACK,UCT_WIN,BLACK,14,22,-8,33,1,16.181866,7.813593,8.354959,16,17,0.48835,0.491468,100005,100004
7,4,BLACK,WHITE,UCT_WIN,WHITE,16,20,-4,32,0,15.465235,8.096578,7.356531,16,16,0.506036,0.459783,100006,100007
8,4,WHITE,BLACK,THOMPSON_WIN,WHITE,20,16,4,32,0,15.930643,7.688117,8.228914,16,16,0.480507,0.514307,100007,100006
9,5,BLACK,WHITE,UCT_WIN,WHITE,2,34,-32,34,2,16.789998,8.733417,8.042186,17,17,0.51373,0.47307,100008,100009
10,5,WHITE,BLACK,UCT_WIN,BLACK,11,25,-14,33,1,15.978408,7.574081,8.390575,16,17,0.47338,0.493563,100009,100008
11,6,BLACK,WHITE,UCT_WIN,WHITE,15,21,-6,32,0,16.360934,8.406752,7.941281,16,16,0.525422,0.49633,100010,100011
12,6,WHITE,BLACK,UCT_WIN,BLACK,14,22,-8,34,2,15.784,7.554232,8.216798,17,17,0.444367,0.483341,100011,100010
13,7,BLACK,WHITE,UCT_WIN,WHITE,16,20,-4,32,0,13.922579,7.454975,6.456772,16,16,0.465936,0.403548,100012,100013
14,7,WHITE,BLACK,THOMPSON_WIN,WHITE,30,6,24,32,0,13.706266,6.532335,7.162927,16,16,0.408271,0.447683,100013,100012
15,8,BLACK,WHITE,DRAW,DRAW,18,18,0,32,0,13.617464,7.188769,6.418519,16,16,0.449298,0.401157,100014,100015
16,8,WHITE,BLACK,THOMPSON_WIN,WHITE,28,8,20,34,2,13.839386,6.622124,7.205578,17,17,0.389537,0.423858,100015,100014
17,9,BLACK,WHITE,THOMPSON_WIN,BLACK,23,13,10,32,0,14.179055,7.571847,6.595707,16,16,0.47324,0.412232,100016,100017
18,9,WHITE,BLACK,THOMPSON_WIN,WHITE,29,7,22,34,2,14.714425,7.034279,7.665983,17,17,0.413781,0.45094,100017,100016
19,10,BLACK,WHITE,UCT_WIN,WHITE,8,28,-20,32,0,16.66802,8.798957,7.85452,16,16,0.549935,0.490908,100018,100019
20,10,WHITE,BLACK,UCT_WIN,BLACK,10,26,-16,32,0,13.485044,6.440241,7.032908,16,16,0.402515,0.439557,100019,100018
21,11,BLACK,WHITE,THOMPSON_WIN,BLACK,27,9,18,33,1,14.065825,7.315882,6.739335,17,16,0.430346,0.421208,100020,100021
