metric,value
experiment_name,08_classical_thompson_vs_classical_uct
board_rows,6
board_cols,6
simulations_per_move,100
total_games,100
seed_start,100000
thompson_alpha_prior,2.0
thompson_beta_prior,1.0
uct_exploration_constant,0.5
thompson_wins,32
uct_wins,65
draws,3
thompson_win_rate,0.32
thompson_score_rate,0.335
thompson_win_rate_ci95_low,0.23669
thompson_win_rate_ci95_high,0.416628
thompson_black_games,50
thompson_black_wins,10
thompson_black_win_rate,0.2
thompson_black_ci95_low,0.112436
thompson_black_ci95_high,0.330374
thompson_white_games,50
thompson_white_wins,22
thompson_white_win_rate,0.44
thompson_white_ci95_low,0.31162
thompson_white_ci95_high,0.576942
average_thompson_discs,15.97
average_uct_discs,20.02
average_disc_difference,-4.05
median_disc_difference,-6.0
average_actions_per_game,32.57
median_actions_per_game,32.0
average_passes_per_game,0.58
average_match_runtime_seconds,13.774766
total_experiment_runtime_seconds,1377.488347
thompson_total_search_seconds,690.46633
uct_total_search_seconds,685.882408
thompson_total_decisions,1628
uct_total_decisions,1629
thompson_average_seconds_per_decision,0.424119
uct_average_seconds_per_decision,0.421045
