experiment_name,game,pair,thompson_colour,uct_colour,outcome,winner_colour,thompson_discs,uct_discs,disc_difference,actions,passes,match_runtime_seconds,thompson_search_seconds,uct_search_seconds,thompson_decisions,uct_decisions,thompson_seconds_per_decision,uct_seconds_per_decision,thompson_seed,uct_seed,board_rows,board_cols,simulations,thompson_alpha_prior,thompson_beta_prior,uct_exploration_constant,uct_progressive_bias_weight,rollout_epsilon,expansion_epsilon,rollout_depth_limit,guided_expansion,heuristic_rollouts,root_safety,root_lookahead,heuristic_cutoff
11_enhanced_thompson_vs_enhanced_uct,1,1,BLACK,WHITE,UCT_WIN,WHITE,9,27,-18,32,0,44.0530063,23.9374051,20.1097257,16,16,1.496087819,1.256857856,100000,100001,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,2,1,WHITE,BLACK,UCT_WIN,BLACK,7,29,-22,33,1,76.6710773,36.9719198,39.6865092,16,17,2.310744987,2.334500541,100001,100000,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,3,2,BLACK,WHITE,UCT_WIN,WHITE,16,20,-4,32,0,88.2274683,45.2314192,42.9850606,16,16,2.8269637,2.686566287,100002,100003,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,4,2,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,33,1,92.0483318,44.9829879,47.0544835,16,17,2.811436744,2.767910794,100003,100002,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,5,3,BLACK,WHITE,THOMPSON_WIN,BLACK,19,17,2,32,0,93.9573594,49.4709995,44.4749,16,16,3.091937469,2.77968125,100004,100005,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,6,3,WHITE,BLACK,UCT_WIN,BLACK,15,21,-6,32,0,90.4357981,44.3445685,46.0785838,16,16,2.771535531,2.879911487,100005,100004,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,7,4,BLACK,WHITE,UCT_WIN,WHITE,16,20,-4,32,0,51.2734118,26.2151886,25.0522814,16,16,1.638449288,1.565767588,100006,100007,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,8,4,WHITE,BLACK,UCT_WIN,BLACK,14,22,-8,33,1,38.723704,18.7111224,20.0071753,16,17,1.16944515,1.176892665,100007,100006,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,9,5,BLACK,WHITE,UCT_WIN,WHITE,9,27,-18,32,0,38.8882386,20.3739056,18.5090771,16,16,1.2733691,1.156817319,100008,100009,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,10,5,WHITE,BLACK,UCT_WIN,BLACK,15,21,-6,33,1,39.0575398,18.8560499,20.1960993,16,17,1.178503119,1.188005841,100009,100008,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
