metric,value
experiment_name,11_enhanced_thompson_vs_enhanced_uct
board_rows,6
board_cols,6
simulations_per_move,200
planned_games,100
completed_games,100
seed_start,100000
thompson_alpha_prior,2.0
thompson_beta_prior,1.0
uct_exploration_constant,0.5
uct_progressive_bias_weight,0.0
rollout_epsilon,0.15
expansion_epsilon,0.05
rollout_depth_limit,16
guided_expansion,True
heuristic_rollouts,True
root_safety,True
root_lookahead,True
heuristic_cutoff,True
thompson_wins,42
uct_wins,50
draws,8
thompson_win_rate,0.42
uct_win_rate,0.5
draw_rate,0.08
thompson_score_rate,0.46
uct_score_rate,0.54
thompson_win_rate_ci95_low,0.327982249
thompson_win_rate_ci95_high,0.51793692
uct_win_rate_ci95_low,0.403829829
uct_win_rate_ci95_high,0.596170171
thompson_black_games,50
thompson_black_wins,21
thompson_black_win_rate,0.42
thompson_white_games,50
thompson_white_wins,21
thompson_white_win_rate,0.42
average_thompson_discs,17.17
average_uct_discs,18.71
average_disc_difference_ts_minus_uct,-1.54
median_disc_difference_ts_minus_uct,-1.0
average_actions_per_game,32.5
median_actions_per_game,32.0
average_passes_per_game,0.62
average_match_runtime_seconds,78.674896774
recorded_match_runtime_seconds,7867.4896774
elapsed_this_session_seconds,7869.5337047
thompson_total_search_seconds,3955.7647215
uct_total_search_seconds,3910.6614429
thompson_total_decisions,1624
uct_total_decisions,1626
thompson_average_seconds_per_decision,2.435815715
uct_average_seconds_per_decision,2.405080838
