metric;value
experiment_name;11_enhanced_thompson_vs_enhanced_uct
board_rows;6
board_cols;6
simulations_per_move;400
planned_games;100
completed_games;100
seed_start;100000
thompson_alpha_prior;2
thompson_beta_prior;1
uct_exploration_constant;0.5
uct_progressive_bias_weight;0
rollout_epsilon;0.15
expansion_epsilon;0.05
rollout_depth_limit;16
guided_expansion;TRUE
heuristic_rollouts;TRUE
root_safety;TRUE
root_lookahead;TRUE
heuristic_cutoff;TRUE
thompson_wins;45
uct_wins;51
draws;4
thompson_win_rate;0.45
uct_win_rate;0.51
draw_rate;0.04
thompson_score_rate;0.47
uct_score_rate;0.53
thompson_win_rate_ci95_low;0.356143751
thompson_win_rate_ci95_high;0.54755573
uct_win_rate_ci95_low;0.413478405
uct_win_rate_ci95_high;0.605781699
thompson_black_games;50
thompson_black_wins;21
thompson_black_win_rate;0.42
thompson_white_games;50
thompson_white_wins;24
thompson_white_win_rate;0.48
average_thompson_discs;17.32
average_uct_discs;18.52
average_disc_difference_ts_minus_uct;-1.2
median_disc_difference_ts_minus_uct;-1.5
average_actions_per_game;32.63
median_actions_per_game;32
average_passes_per_game;0.79
average_match_runtime_seconds;147.1571657
recorded_match_runtime_seconds;14715.71657
elapsed_this_session_seconds;14717.69429
thompson_total_search_seconds;7433.902515
uct_total_search_seconds;7280.746469
thompson_total_decisions;1634
uct_total_decisions;1629
thompson_average_seconds_per_decision;4.549511943
uct_average_seconds_per_decision;4.469457624
