experiment_name,prior_label,alpha_prior,beta_prior,prior_mean,prior_strength,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,1,0,BLACK,WHITE,draw,DRAW,18,18,0,33,1,13.2695934,13.2614788,0.0027937,17,16,0.780086988,0.000174606,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,2,1,WHITE,BLACK,win,WHITE,19,17,2,33,1,12.4254717,12.4164934,0.0032634,16,17,0.776030838,0.000191965,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,3,2,BLACK,WHITE,win,BLACK,22,14,8,32,0,13.4677113,13.4591796,0.0029628,16,16,0.841198725,0.000185175,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,4,3,WHITE,BLACK,win,WHITE,33,2,31,32,1,12.5104574,12.501823,0.0030695,16,16,0.781363937,0.000191844,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,5,4,BLACK,WHITE,win,BLACK,29,7,22,33,1,13.3056798,13.2972627,0.0030024,17,16,0.782191924,0.00018765,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,6,5,WHITE,BLACK,win,WHITE,22,14,8,32,0,12.1881704,12.1797792,0.0031326,16,16,0.7612362,0.000195787,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,7,6,BLACK,WHITE,draw,DRAW,18,18,0,33,1,13.4509729,13.4427104,0.0028206,17,16,0.790747671,0.000176288,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,8,7,WHITE,BLACK,win,WHITE,25,11,14,32,0,12.2241152,12.2161803,0.0028265,16,16,0.763511269,0.000176656,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,9,8,BLACK,WHITE,win,BLACK,19,17,2,32,0,13.1141717,13.1060299,0.0029234,16,16,0.819126869,0.000182712,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,10,9,WHITE,BLACK,win,WHITE,24,12,12,32,0,11.813563,11.8053339,0.0029905,16,16,0.737833369,0.000186906,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,11,10,BLACK,WHITE,win,BLACK,30,3,27,29,0,12.9923705,12.984464,0.0027759,15,14,0.865630933,0.000198279,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,12,11,WHITE,BLACK,win,WHITE,27,9,18,32,0,11.9131365,11.9046553,0.0031599,16,16,0.744040956,0.000197494,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,13,12,BLACK,WHITE,win,BLACK,19,17,2,32,0,13.310281,13.3017835,0.0028809,16,16,0.831361469,0.000180056,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,14,13,WHITE,BLACK,win,WHITE,27,9,18,32,0,12.0622487,12.0538738,0.003065,16,16,0.753367113,0.000191562,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,15,14,BLACK,WHITE,win,BLACK,29,7,22,35,3,13.0806172,13.0719276,0.0029647,18,17,0.7262182,0.000174394,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,16,15,WHITE,BLACK,loss,BLACK,17,19,-2,32,0,12.1009514,12.0926036,0.0030076,16,16,0.755787725,0.000187975,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,17,16,BLACK,WHITE,loss,WHITE,17,19,-2,33,1,13.2004622,13.1918813,0.0028675,17,16,0.775993018,0.000179219,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,18,17,WHITE,BLACK,win,WHITE,19,17,2,32,0,11.7276498,11.7193047,0.003039,16,16,0.732456544,0.000189937,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,19,18,BLACK,WHITE,win,BLACK,24,12,12,32,0,12.9437505,12.9356467,0.0028242,16,16,0.808477919,0.000176512,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,20,19,WHITE,BLACK,win,WHITE,23,13,10,32,0,12.043906,12.0354038,0.0032543,16,16,0.752212738,0.000203394,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,21,20,BLACK,WHITE,win,BLACK,28,8,20,33,1,12.7835119,12.7755524,0.0028237,17,16,0.751503082,0.000176481,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,22,21,WHITE,BLACK,win,WHITE,23,13,10,32,0,11.738124,11.7296903,0.0029932,16,16,0.733105644,0.000187075,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,23,22,BLACK,WHITE,win,BLACK,28,8,20,33,1,13.1491328,13.1409251,0.0028606,17,16,0.772995594,0.000178788,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,24,23,WHITE,BLACK,loss,BLACK,17,19,-2,32,0,11.8500363,11.8416473,0.0029736,16,16,0.740102956,0.00018585,6,6,400,0.0
