experiment_name,prior_label,alpha_prior,beta_prior,prior_mean,prior_strength,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_1,1.0,1.0,0.5,2.0,1,0,BLACK,WHITE,loss,WHITE,10,26,-16,33,1,13.0787902,13.0704087,0.0029769,17,16,0.768847571,0.000186056,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_1,1.0,1.0,0.5,2.0,2,1,WHITE,BLACK,win,WHITE,23,13,10,34,2,12.2807464,12.2715308,0.0031797,17,17,0.721854753,0.000187041,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_1,1.0,1.0,0.5,2.0,3,2,BLACK,WHITE,win,BLACK,32,3,29,33,2,13.2366192,13.2280236,0.0030622,17,16,0.778119035,0.000191387,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_1,1.0,1.0,0.5,2.0,4,3,WHITE,BLACK,win,WHITE,21,15,6,34,2,12.5049968,12.4923157,0.0062062,17,17,0.7348421,0.000365071,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_1,1.0,1.0,0.5,2.0,5,4,BLACK,WHITE,win,BLACK,25,11,14,32,0,13.0832493,13.0750821,0.002874,16,16,0.817192631,0.000179625,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_1,1.0,1.0,0.5,2.0,6,5,WHITE,BLACK,win,WHITE,23,13,10,32,0,11.8071266,11.7983548,0.0031489,16,16,0.737397175,0.000196806,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_1,1.0,1.0,0.5,2.0,7,6,BLACK,WHITE,win,BLACK,29,7,22,33,1,12.9666718,12.9585001,0.0028325,17,16,0.762264712,0.000177031,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_1,1.0,1.0,0.5,2.0,8,7,WHITE,BLACK,win,WHITE,27,9,18,32,0,11.8405885,11.8324849,0.0028965,16,16,0.739530306,0.000181031,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_1,1.0,1.0,0.5,2.0,9,8,BLACK,WHITE,win,BLACK,30,6,24,32,0,12.9110289,12.9026889,0.0030902,16,16,0.806418056,0.000193137,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_1,1.0,1.0,0.5,2.0,10,9,WHITE,BLACK,win,WHITE,23,13,10,32,0,12.1106011,12.1023594,0.0029918,16,16,0.756397462,0.000186988,6,6,400,0.0
