experiment_name,prior_label,alpha_prior,beta_prior,prior_mean,prior_strength,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_2_pessimistic,1.0,2.0,0.3333333333333333,3.0,1,0,BLACK,WHITE,win,BLACK,23,13,10,33,1,14.2246749,14.2158239,0.0031031,17,16,0.836224935,0.000193944,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_2_pessimistic,1.0,2.0,0.3333333333333333,3.0,2,1,WHITE,BLACK,win,WHITE,26,10,16,34,2,15.6671044,15.6575988,0.0033719,17,17,0.921035224,0.000198347,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_2_pessimistic,1.0,2.0,0.3333333333333333,3.0,3,2,BLACK,WHITE,win,BLACK,34,2,32,35,3,14.4557014,14.4460662,0.0035298,18,17,0.802559233,0.000207635,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_2_pessimistic,1.0,2.0,0.3333333333333333,3.0,4,3,WHITE,BLACK,win,WHITE,25,11,14,32,0,13.6126494,13.6031806,0.0034535,16,16,0.850198787,0.000215844,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_2_pessimistic,1.0,2.0,0.3333333333333333,3.0,5,4,BLACK,WHITE,win,BLACK,25,11,14,32,0,14.8054077,14.7947897,0.0037707,16,16,0.924674356,0.000235669,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_2_pessimistic,1.0,2.0,0.3333333333333333,3.0,6,5,WHITE,BLACK,win,WHITE,26,10,16,33,1,13.5631055,13.5531366,0.0036946,16,17,0.847071037,0.000217329,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_2_pessimistic,1.0,2.0,0.3333333333333333,3.0,7,6,BLACK,WHITE,win,BLACK,28,8,20,33,1,14.715884,14.7069048,0.003102,17,16,0.865112047,0.000193875,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_2_pessimistic,1.0,2.0,0.3333333333333333,3.0,8,7,WHITE,BLACK,win,WHITE,22,14,8,32,0,13.0684286,13.0595467,0.0030092,16,16,0.816221669,0.000188075,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_2_pessimistic,1.0,2.0,0.3333333333333333,3.0,9,8,BLACK,WHITE,win,BLACK,26,10,16,35,3,13.8140956,13.8056455,0.0028746,18,17,0.766980306,0.000169094,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_1_2_pessimistic,1.0,2.0,0.3333333333333333,3.0,10,9,WHITE,BLACK,win,WHITE,30,5,25,32,1,13.101987,13.0928432,0.0033665,16,16,0.8183027,0.000210406,6,6,400,0.0
