experiment_name,prior_label,alpha_prior,beta_prior,prior_mean,prior_strength,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,1,0,BLACK,WHITE,win,BLACK,31,5,26,33,1,34.4767864,34.4584257,0.0062376,17,16,2.026966218,0.00038985,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,2,1,WHITE,BLACK,win,WHITE,19,17,2,34,2,29.4889817,29.467501,0.007379,17,17,1.733382412,0.000434059,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,3,2,BLACK,WHITE,win,BLACK,33,3,30,35,3,33.5739851,33.5530592,0.0069028,18,17,1.864058844,0.000406047,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,4,3,WHITE,BLACK,win,WHITE,25,11,14,32,0,29.1690048,29.1506151,0.0064348,16,16,1.821913444,0.000402175,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,5,4,BLACK,WHITE,win,BLACK,28,8,20,33,1,31.7002895,31.6807377,0.0068214,17,16,1.863572806,0.000426337,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,6,5,WHITE,BLACK,draw,DRAW,18,18,0,34,2,27.7517559,27.7331928,0.0063501,17,17,1.631364282,0.000373535,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,7,6,BLACK,WHITE,win,BLACK,30,6,24,33,1,33.0898725,33.0722743,0.0061187,17,16,1.9454279,0.000382419,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,8,7,WHITE,BLACK,win,WHITE,25,11,14,32,0,31.3325803,31.3118548,0.0075554,16,16,1.956990925,0.000472212,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,9,8,BLACK,WHITE,win,BLACK,20,16,4,33,1,31.5650578,31.5464068,0.0063904,17,16,1.855670988,0.0003994,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,10,9,WHITE,BLACK,win,WHITE,25,11,14,34,2,32.2906956,32.2707096,0.0069901,17,17,1.898277035,0.000411182,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,11,10,BLACK,WHITE,win,BLACK,30,6,24,34,2,32.2498732,32.2285334,0.007247,17,17,1.895796082,0.000426294,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,12,11,WHITE,BLACK,win,WHITE,28,8,20,34,2,30.8606474,30.839176,0.0074976,17,17,1.814069176,0.000441035,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,13,12,BLACK,WHITE,win,BLACK,27,9,18,32,0,31.2340019,31.2167052,0.0059152,16,16,1.951044075,0.0003697,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,14,13,WHITE,BLACK,loss,BLACK,12,24,-12,32,0,28.495521,28.475184,0.0075859,16,16,1.779699,0.000474119,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,15,14,BLACK,WHITE,win,BLACK,21,15,6,33,1,31.8347468,31.8152835,0.00663,17,16,1.871487265,0.000414375,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,16,15,WHITE,BLACK,win,WHITE,23,13,10,32,0,28.5267076,28.5088603,0.0063934,16,16,1.781803769,0.000399587,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,17,16,BLACK,WHITE,win,BLACK,20,16,4,33,1,31.1142799,31.0958059,0.0060026,17,16,1.829165053,0.000375163,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,18,17,WHITE,BLACK,win,WHITE,20,16,4,32,0,24.7105199,24.6964145,0.0047961,16,16,1.543525906,0.000299756,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,19,18,BLACK,WHITE,win,BLACK,36,0,36,35,3,14.6042028,14.5949242,0.0032841,18,17,0.810829122,0.000193182,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,20,19,WHITE,BLACK,win,WHITE,26,9,17,32,1,12.2121122,12.2027267,0.0032767,16,16,0.762670419,0.000204794,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,21,20,BLACK,WHITE,draw,DRAW,18,18,0,33,1,13.3115667,13.3032507,0.0028715,17,16,0.782544159,0.000179469,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,22,21,WHITE,BLACK,win,WHITE,19,17,2,32,0,11.9355493,11.9273276,0.0029166,16,16,0.745457975,0.000182288,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,23,22,BLACK,WHITE,win,BLACK,28,8,20,35,3,13.4730804,13.4639123,0.0029388,18,17,0.747995128,0.000172871,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,24,23,WHITE,BLACK,win,WHITE,24,12,12,32,0,12.0431459,12.034455,0.0032131,16,16,0.752153437,0.000200819,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,25,24,BLACK,WHITE,win,BLACK,21,15,6,33,1,13.5586527,13.5501487,0.0029002,17,16,0.797067571,0.000181262,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,26,25,WHITE,BLACK,win,WHITE,28,8,20,32,0,12.1068829,12.0984912,0.0030579,16,16,0.7561557,0.000191119,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,27,26,BLACK,WHITE,win,BLACK,19,17,2,33,1,13.7360842,13.7275147,0.0028572,17,16,0.807500865,0.000178575,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,28,27,WHITE,BLACK,loss,BLACK,16,20,-4,32,0,12.2389352,12.2301836,0.0031186,16,16,0.764386475,0.000194912,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,29,28,BLACK,WHITE,win,BLACK,28,7,21,35,4,14.4481179,14.4385829,0.0032109,18,17,0.802143494,0.000188876,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,30,29,WHITE,BLACK,win,WHITE,28,7,21,32,1,12.5110687,12.5025032,0.0031338,16,16,0.78140645,0.000195863,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,31,30,BLACK,WHITE,win,BLACK,19,16,3,31,0,13.0407332,13.0325356,0.0028723,16,15,0.814533475,0.000191487,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,32,31,WHITE,BLACK,win,WHITE,23,13,10,32,0,11.7575677,11.7493646,0.0029482,16,16,0.734335288,0.000184263,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_1_optimistic,2.0,1.0,0.6666666666666666,3.0,33,32,BLACK,WHITE,win,BLACK,28,8,20,33,1,13.2404401,13.2324372,0.0028103,17,16,0.778378659,0.000175644,6,6,400,0.0
