prior_label;alpha_prior;beta_prior;prior_mean;prior_strength;completed_games;wins;draws;losses;win_rate;score_rate;ci95_low;ci95_high;win_rate_as_black;win_rate_as_white;avg_disc_difference;avg_runtime_seconds;avg_moves;avg_tested_seconds_per_decision
beta_0_5_0_5;0.5;0.5;0.5;1;100;85;3;12;0.85;0.865;0.767162667;0.906940968;0.82;0.88;9.93;12.6739128;32.71;0.770144061
beta_1_1;1;1;0.5;2;100;77;3;20;0.77;0.785;0.678454351;0.841568453;0.82;0.72;7.38;19.33942895;32.59;1.178381727
beta_2_2;2;2;0.5;4;100;85;1;14;0.85;0.855;0.767162667;0.906940968;0.84;0.86;7.42;12.69529804;32.64;0.774557789
beta_5_5;5;5;0.5;10;100;83;1;16;0.83;0.835;0.744518188;0.891065239;0.82;0.84;7.19;13.24194351;32.8;0.8034136
beta_2_1_optimistic;2;1;0.666666667;3;100;89;2;9;0.89;0.9;0.81368537;0.93745868;0.9;0.88;11.8;16.943773;32.94;1.017293905
beta_1_2_pessimistic;1;2;0.333333333;3;100;84;1;15;0.84;0.845;0.755795554;0.899047977;0.84;0.84;9.79;13.51400802;32.66;0.822247381
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;Beta(0.5,0.5);85.0%;;;;;;;;;;
;;;;;;;Beta(1,1);77.0%;;;;;;;;;;
;;;;;;;Beta(2,2);85.0%;;;;;;;;;;
;;;;;;;Beta(5,5);83.0%;;;;;;;;;;
;;;;;;;Beta(2,1);89.0%;;;;;;;;;;
;;;;;;;Beta(1,2);84.0%;;;;;;;;;;
