experiment_name,c_value,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
09_classical_uct_c_sweep_vs_weak_tactical,1.0,1,0,BLACK,WHITE,win,BLACK,26,10,16,33,1,3.8555607,3.8465672,0.0030971,17,16,0.226268659,0.000193569,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,2,1,WHITE,BLACK,loss,BLACK,14,22,-8,32,0,3.2475981,3.2392786,0.002973,16,16,0.202454912,0.000185813,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,3,2,BLACK,WHITE,win,BLACK,31,5,26,35,3,3.7595892,3.7505011,0.003112101,18,17,0.208361172,0.000183065,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,4,3,WHITE,BLACK,win,WHITE,21,15,6,32,0,3.3628503,3.3535346,0.0032217,16,16,0.209595913,0.000201356,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,5,4,BLACK,WHITE,loss,WHITE,10,26,-16,32,0,3.7552869,3.746197901,0.003130001,16,16,0.234137369,0.000195625,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,6,5,WHITE,BLACK,loss,BLACK,12,24,-12,32,0,3.4139308,3.4049613,0.0032904,16,16,0.212810081,0.00020565,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,7,6,BLACK,WHITE,loss,WHITE,6,30,-24,32,0,3.8990998,3.889971,0.0031405,16,16,0.243123187,0.000196281,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,8,7,WHITE,BLACK,loss,BLACK,13,23,-10,32,0,3.4769484,3.467612001,0.0032645,16,16,0.21672575,0.000204031,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,9,8,BLACK,WHITE,win,BLACK,20,16,4,33,1,4.09684,4.086589,0.0036671,17,16,0.240387588,0.000229194,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,10,9,WHITE,BLACK,win,WHITE,33,2,31,34,3,3.6190069,3.608769799,0.003532,17,17,0.212280576,0.000207765,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,11,10,BLACK,WHITE,win,BLACK,27,9,18,33,1,3.9039396,3.8948963,0.003155401,17,16,0.229111547,0.000197213,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,12,11,WHITE,BLACK,loss,BLACK,15,21,-6,32,0,3.5083855,3.4992946,0.0031373,16,16,0.218705913,0.000196081,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,13,12,BLACK,WHITE,win,BLACK,23,13,10,34,2,3.8072526,3.7973654,0.0034401,17,17,0.223374435,0.000202359,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,14,13,WHITE,BLACK,loss,BLACK,0,33,-33,33,4,3.6534118,3.6430449,0.0035669,16,17,0.227690306,0.000209818,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,15,14,BLACK,WHITE,win,BLACK,19,17,2,32,0,3.74088,3.7320295,0.0030602,16,16,0.233251844,0.000191263,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,16,15,WHITE,BLACK,win,WHITE,21,15,6,32,0,3.6526392,3.6420923,0.0039475,16,16,0.227630769,0.000246719,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,17,16,BLACK,WHITE,win,BLACK,27,9,18,33,1,4.0848222,4.0748003,0.0036676,17,16,0.239694135,0.000229225,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,18,17,WHITE,BLACK,loss,BLACK,5,31,-26,33,1,3.5652441,3.5552382,0.0037243,16,17,0.222202387,0.000219076,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,19,18,BLACK,WHITE,loss,WHITE,0,31,-31,30,3,4.0171972,4.0069716,0.0034777,15,15,0.26713144,0.000231847,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,20,19,WHITE,BLACK,win,WHITE,33,2,31,32,1,3.4996417,3.4902298,0.0033074,16,16,0.218139362,0.000206712,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,21,20,BLACK,WHITE,loss,WHITE,0,36,-36,36,4,4.128103,4.1176895,0.0034226,18,18,0.228760528,0.000190144,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,22,21,WHITE,BLACK,draw,DRAW,18,18,0,32,0,3.3656823,3.356755399,0.0032641,16,16,0.209797212,0.000204006,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,23,22,BLACK,WHITE,win,BLACK,20,16,4,33,1,4.0537678,4.0436339,0.0035019,17,16,0.237860818,0.000218869,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,24,23,WHITE,BLACK,loss,BLACK,4,23,-19,25,2,3.4780157,3.4687995,0.003150799,12,13,0.289066625,0.000242369,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,25,24,BLACK,WHITE,win,BLACK,22,14,8,34,2,4.0823363,4.071638401,0.0036424,17,17,0.239508141,0.000214259,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,26,25,WHITE,BLACK,win,WHITE,25,11,14,34,2,3.4890363,3.479233,0.0034629,17,17,0.204660765,0.0002037,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,27,26,BLACK,WHITE,win,BLACK,23,13,10,34,2,4.0064,3.9968933,0.0032611,17,17,0.235111371,0.000191829,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,28,27,WHITE,BLACK,loss,BLACK,6,30,-24,32,0,3.1434703,3.135094401,0.0029333,16,16,0.1959434,0.000183331,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,29,28,BLACK,WHITE,loss,WHITE,3,33,-30,34,2,3.7407267,3.7316581,0.0031792,17,17,0.2195093,0.000187012,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,30,29,WHITE,BLACK,win,WHITE,24,12,12,32,0,3.332721,3.323387901,0.003196,16,16,0.207711744,0.00019975,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,31,30,BLACK,WHITE,draw,DRAW,18,18,0,33,1,3.6965295,3.6878693,0.0028607,17,16,0.216933488,0.000178794,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,32,31,WHITE,BLACK,win,WHITE,25,11,14,32,0,3.4377461,3.4286955,0.0032903,16,16,0.214293469,0.000205644,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,33,32,BLACK,WHITE,win,BLACK,19,17,2,32,0,3.9847543,3.9756377,0.0030769,16,16,0.248477356,0.000192306,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,34,33,WHITE,BLACK,win,WHITE,25,11,14,34,2,3.3283413,3.318898,0.0032319,17,17,0.195229294,0.000190112,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,35,34,BLACK,WHITE,loss,WHITE,8,28,-20,32,0,3.5080151,3.4995962,0.0029546,16,16,0.218724763,0.000184663,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,36,35,WHITE,BLACK,loss,BLACK,11,24,-13,33,2,3.1945543,3.1852379,0.003542,16,17,0.199077369,0.000208353,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,37,36,BLACK,WHITE,win,BLACK,24,12,12,36,4,3.6564012,3.647188201,0.003121699,18,18,0.202621567,0.000173428,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,38,37,WHITE,BLACK,win,WHITE,29,6,23,32,1,3.4709955,3.4622155,0.003102199,16,16,0.216388469,0.000193887,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,39,38,BLACK,WHITE,win,BLACK,29,7,22,34,2,3.6738855,3.664289,0.0032553,17,17,0.215546412,0.000191488,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,40,39,WHITE,BLACK,loss,BLACK,17,19,-2,34,2,3.3211069,3.311598701,0.0034972,17,17,0.194799924,0.000205718,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,41,40,BLACK,WHITE,win,BLACK,26,10,16,35,3,3.8406056,3.8317336,0.0028732,18,17,0.212874089,0.000169012,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,42,41,WHITE,BLACK,loss,BLACK,2,32,-30,33,3,3.6806402,3.6716842,0.0032438,16,17,0.229480263,0.000190812,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,43,42,BLACK,WHITE,loss,WHITE,11,25,-14,32,0,3.6061303,3.5974314,0.0031182,16,16,0.224839462,0.000194888,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,44,43,WHITE,BLACK,win,WHITE,25,11,14,32,0,3.4307649,3.4217663,0.0032598,16,16,0.213860394,0.000203737,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,45,44,BLACK,WHITE,win,BLACK,25,11,14,33,1,3.6647654,3.6562249,0.0030005,17,16,0.215072053,0.000187531,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,46,45,WHITE,BLACK,win,WHITE,24,12,12,32,0,3.7216533,3.7125551,0.003416101,16,16,0.232034694,0.000213506,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,47,46,BLACK,WHITE,win,BLACK,28,8,20,33,1,3.7942402,3.7844433,0.0033819,17,16,0.222614312,0.000211369,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,48,47,WHITE,BLACK,loss,BLACK,6,30,-24,34,2,3.5930099,3.5804198,0.004678,17,17,0.210612929,0.000275176,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,49,48,BLACK,WHITE,win,BLACK,22,14,8,33,1,3.8374101,3.8275042,0.0033804,17,16,0.225147306,0.000211275,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,50,49,WHITE,BLACK,win,WHITE,19,17,2,32,0,3.8477866,3.838121899,0.0035188,16,16,0.239882619,0.000219925,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,51,50,BLACK,WHITE,win,BLACK,21,15,6,32,0,4.0412875,4.031987301,0.0032013,16,16,0.251999206,0.000200081,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,52,51,WHITE,BLACK,loss,BLACK,17,19,-2,32,0,3.8216348,3.811159099,0.0037803,16,16,0.238197444,0.000236269,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,53,52,BLACK,WHITE,win,BLACK,21,15,6,33,1,3.9840346,3.9737217,0.0035144,17,16,0.233748335,0.00021965,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,54,53,WHITE,BLACK,loss,BLACK,13,23,-10,32,0,3.6903901,3.6805706,0.0035624,16,16,0.230035662,0.00022265,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,55,54,BLACK,WHITE,win,BLACK,21,15,6,33,1,3.7581559,3.7496178,0.0030162,17,16,0.220565753,0.000188512,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,56,55,WHITE,BLACK,win,WHITE,28,8,20,34,2,3.5655365,3.5554466,0.003603901,17,17,0.209143918,0.000211994,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,57,56,BLACK,WHITE,win,BLACK,29,7,22,33,1,3.8383705,3.8276979,0.0034448,17,16,0.2251587,0.0002153,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,58,57,WHITE,BLACK,win,WHITE,24,12,12,32,0,3.8760754,3.8668114,0.0034233,16,16,0.241675713,0.000213956,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,59,58,BLACK,WHITE,win,BLACK,27,9,18,33,1,3.9927561,3.9823672,0.0038165,17,16,0.234256894,0.000238531,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,60,59,WHITE,BLACK,win,WHITE,20,16,4,32,0,3.478843,3.4699374,0.003274699,16,16,0.216871087,0.000204669,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,61,60,BLACK,WHITE,win,BLACK,23,13,10,32,0,3.9448588,3.9350801,0.0035051,16,16,0.245942506,0.000219069,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,62,61,WHITE,BLACK,loss,BLACK,10,26,-16,32,0,3.5891511,3.5798791,0.003418701,16,16,0.223742444,0.000213669,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,63,62,BLACK,WHITE,loss,WHITE,16,19,-3,31,0,3.9226327,3.9132098,0.0031542,16,15,0.244575612,0.00021028,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,64,63,WHITE,BLACK,win,WHITE,23,13,10,34,2,3.4199189,3.410122499,0.003429201,17,17,0.200595441,0.000201718,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,65,64,BLACK,WHITE,win,BLACK,21,15,6,33,1,3.7314972,3.7229827,0.0029008,17,16,0.218998982,0.0001813,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,66,65,WHITE,BLACK,win,WHITE,35,1,34,34,2,3.8438217,3.833659199,0.0035534,17,17,0.225509365,0.000209024,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,67,66,BLACK,WHITE,win,BLACK,21,15,6,32,0,3.9114776,3.9010828,0.004060601,16,16,0.243817675,0.000253788,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,68,67,WHITE,BLACK,win,WHITE,22,14,8,35,3,3.4997306,3.489467599,0.003915999,17,18,0.2052628,0.000217556,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,69,68,BLACK,WHITE,win,BLACK,20,16,4,32,0,3.7556309,3.7465728,0.0032254,16,16,0.2341608,0.000201587,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,70,69,WHITE,BLACK,win,WHITE,24,12,12,32,0,3.6527656,3.6442672,0.0029884,16,16,0.2277667,0.000186775,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,71,70,BLACK,WHITE,win,BLACK,21,15,6,33,1,3.9507686,3.9416709,0.0030792,17,16,0.231862994,0.00019245,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,72,71,WHITE,BLACK,win,WHITE,19,17,2,34,2,3.5375635,3.5268529,0.0035974,17,17,0.207461935,0.000211612,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,73,72,BLACK,WHITE,loss,WHITE,9,27,-18,32,0,3.9658846,3.9558969,0.0033487,16,16,0.247243556,0.000209294,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,74,73,WHITE,BLACK,win,WHITE,19,17,2,32,0,3.5865424,3.5779632,0.0030688,16,16,0.2236227,0.0001918,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,75,74,BLACK,WHITE,win,BLACK,20,16,4,32,0,3.8257097,3.8166373,0.003133,16,16,0.238539831,0.000195812,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,76,75,WHITE,BLACK,win,WHITE,23,13,10,36,4,3.4685281,3.4584453,0.0034583,18,18,0.19213585,0.000192128,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,77,76,BLACK,WHITE,win,BLACK,21,15,6,35,3,3.7901304,3.780986601,0.003172001,18,17,0.210054811,0.000186588,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,78,77,WHITE,BLACK,win,WHITE,20,16,4,32,0,3.6256054,3.6162365,0.0035691,16,16,0.226014781,0.000223069,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,79,78,BLACK,WHITE,win,BLACK,30,6,24,35,3,3.9005705,3.890420299,0.003653299,18,17,0.216134461,0.0002149,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,80,79,WHITE,BLACK,draw,DRAW,18,18,0,32,0,3.3136586,3.3048238,0.0031267,16,16,0.206551487,0.000195419,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,81,80,BLACK,WHITE,win,BLACK,21,15,6,33,1,3.6835732,3.6746189,0.0031148,17,16,0.216154053,0.000194675,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,82,81,WHITE,BLACK,loss,BLACK,15,21,-6,33,1,3.6144989,3.6047594,0.003538901,16,17,0.225297463,0.000208171,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,83,82,BLACK,WHITE,win,BLACK,23,13,10,33,1,3.7388957,3.730068101,0.0029243,17,16,0.219415771,0.000182769,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,84,83,WHITE,BLACK,win,WHITE,28,8,20,32,0,3.5576849,3.5480649,0.0035483,16,16,0.221754056,0.000221769,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,85,84,BLACK,WHITE,loss,WHITE,15,21,-6,32,0,3.737876,3.7285561,0.003303,16,16,0.233034756,0.000206438,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,86,85,WHITE,BLACK,loss,BLACK,13,23,-10,32,0,3.556005,3.5460937,0.003653901,16,16,0.221630856,0.000228369,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,87,86,BLACK,WHITE,win,BLACK,24,12,12,32,0,3.6840392,3.6751805,0.0031209,16,16,0.229698781,0.000195056,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,88,87,WHITE,BLACK,win,WHITE,24,12,12,32,0,3.4437854,3.4348965,0.0032338,16,16,0.214681031,0.000202113,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,89,88,BLACK,WHITE,loss,WHITE,8,28,-20,32,0,3.7267714,3.7172956,0.0033201,16,16,0.232330975,0.000207506,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,90,89,WHITE,BLACK,win,WHITE,20,16,4,32,0,3.6557948,3.6462714,0.003644,16,16,0.227891963,0.00022775,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,91,90,BLACK,WHITE,loss,WHITE,7,29,-22,32,0,3.7210227,3.7121577,0.0031904,16,16,0.232009856,0.0001994,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,92,91,WHITE,BLACK,win,WHITE,24,9,15,30,1,3.5635314,3.553948501,0.003401,15,15,0.2369299,0.000226733,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,93,92,BLACK,WHITE,win,BLACK,22,14,8,35,3,4.004765,3.9949258,0.003327899,18,17,0.221940322,0.000195759,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,94,93,WHITE,BLACK,win,WHITE,20,16,4,32,0,3.6707471,3.6613441,0.0033423,16,16,0.228834006,0.000208894,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,95,94,BLACK,WHITE,win,BLACK,23,13,10,33,1,4.0445172,4.0350424,0.003323,17,16,0.237355435,0.000207688,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,96,95,WHITE,BLACK,win,WHITE,25,11,14,36,4,4.0682406,4.0559496,0.004060399,18,18,0.225330533,0.000225578,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,97,96,BLACK,WHITE,win,BLACK,23,13,10,33,1,4.004979,3.9959437,0.0030066,17,16,0.235055512,0.000187913,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.0,98,97,WHITE,BLACK,loss,BLACK,4,32,-28,32,0,3.9304017,3.920462899,0.0037167,16,16,0.245028931,0.000232294,6,6,100,0.0
