experiment_name,c_value,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,1,0,BLACK,WHITE,win,BLACK,24,12,12,32,0,3.9203803,3.9109584,0.0035184,16,16,0.2444349,0.0002199,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,2,1,WHITE,BLACK,loss,BLACK,14,22,-8,32,0,3.3543635,3.3450923,0.0031558,16,16,0.209068269,0.000197237,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,3,2,BLACK,WHITE,win,BLACK,34,2,32,35,3,3.6679517,3.6587794,0.0031266,18,17,0.203265522,0.000183918,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,4,3,WHITE,BLACK,win,WHITE,18,17,1,31,0,3.3578459,3.3489495,0.0033319,15,16,0.2232633,0.000208244,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,5,4,BLACK,WHITE,loss,WHITE,17,19,-2,33,1,4.0008833,3.991525701,0.0032301,17,16,0.234795629,0.000201881,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,6,5,WHITE,BLACK,win,WHITE,19,17,2,32,0,3.391935,3.382806201,0.0030768,16,16,0.211425388,0.0001923,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,7,6,BLACK,WHITE,win,BLACK,23,13,10,35,3,3.8385125,3.8290051,0.0031678,18,17,0.212722506,0.000186341,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,8,7,WHITE,BLACK,win,WHITE,32,3,29,34,3,3.5040499,3.494553701,0.003601099,17,17,0.205561982,0.000211829,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,9,8,BLACK,WHITE,win,BLACK,25,11,14,33,1,3.9267558,3.9172221,0.0034868,17,16,0.230424829,0.000217925,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,10,9,WHITE,BLACK,win,WHITE,22,14,8,34,2,3.4613266,3.45188,0.0031886,17,17,0.203051765,0.000187565,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,11,10,BLACK,WHITE,loss,WHITE,8,28,-20,37,5,4.2304927,4.2190938,0.0037434,19,18,0.222057568,0.000207967,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,12,11,WHITE,BLACK,win,WHITE,22,14,8,32,0,3.3331237,3.3243875,0.0031523,16,16,0.207774219,0.000197019,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,13,12,BLACK,WHITE,loss,WHITE,13,23,-10,32,0,3.8651384,3.8564595,0.0029979,16,16,0.241028719,0.000187369,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,14,13,WHITE,BLACK,win,WHITE,33,2,31,32,1,3.5080288,3.4984966,0.003780799,16,16,0.218656038,0.0002363,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,15,14,BLACK,WHITE,win,BLACK,25,11,14,33,1,3.8239539,3.8149074,0.0029312,17,16,0.224406318,0.0001832,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,16,15,WHITE,BLACK,win,WHITE,22,14,8,32,0,3.5311596,3.5221454,0.003177299,16,16,0.220134088,0.000198581,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,17,16,BLACK,WHITE,win,BLACK,21,15,6,32,0,4.0975062,4.086822899,0.0036831,16,16,0.255426431,0.000230194,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,18,17,WHITE,BLACK,win,WHITE,20,16,4,33,1,3.6291397,3.6199065,0.0033664,16,17,0.226244156,0.000198024,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,19,18,BLACK,WHITE,win,BLACK,20,16,4,32,0,3.6802076,3.671026201,0.0034258,16,16,0.229439138,0.000214113,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,20,19,WHITE,BLACK,win,WHITE,27,9,18,33,1,3.5292974,3.519336,0.0034029,16,17,0.2199585,0.000200171,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,21,20,BLACK,WHITE,win,BLACK,21,15,6,32,0,4.0127539,3.9985901,0.0032474,16,16,0.249911881,0.000202962,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.7071067811865475,22,21,WHITE,BLACK,loss,BLACK,17,19,-2,33,1,3.7531799,3.7423712,0.0039484,16,17,0.2338982,0.000232259,6,6,100,0.0
