experiment_name,c_value,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,1,0,BLACK,WHITE,draw,DRAW,18,18,0,35,3,3.641688,3.632771,0.0030352,18,17,0.201820611,0.000178541,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,2,1,WHITE,BLACK,win,WHITE,25,11,14,34,2,3.886026,3.8744986,0.004250501,17,17,0.227911682,0.000250029,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,3,2,BLACK,WHITE,loss,WHITE,16,20,-4,32,0,3.7988384,3.7890744,0.0033911,16,16,0.23681715,0.000211944,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,4,3,WHITE,BLACK,win,WHITE,20,16,4,33,1,3.5029567,3.4927605,0.003687199,16,17,0.218297531,0.000216894,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,5,4,BLACK,WHITE,loss,WHITE,7,29,-22,32,0,3.6490168,3.6404668,0.0030276,16,16,0.227529175,0.000189225,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,6,5,WHITE,BLACK,win,WHITE,30,6,24,34,2,3.8750882,3.8651067,0.003510101,17,17,0.227359218,0.000206477,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,7,6,BLACK,WHITE,win,BLACK,24,12,12,33,1,3.9814133,3.9713092,0.003525101,17,16,0.233606424,0.000220319,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,8,7,WHITE,BLACK,draw,DRAW,18,18,0,34,2,3.5625683,3.5524182,0.0037199,17,17,0.208965776,0.000218818,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,9,8,BLACK,WHITE,win,BLACK,25,11,14,33,1,3.9819153,3.9712482,0.0038131,17,16,0.233602835,0.000238319,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,10,9,WHITE,BLACK,win,WHITE,24,12,12,34,2,3.7557561,3.7454599,0.003512,17,17,0.220321171,0.000206588,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,11,10,BLACK,WHITE,win,BLACK,19,17,2,33,1,4.0294663,4.019123799,0.003460801,17,16,0.236419047,0.0002163,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,12,11,WHITE,BLACK,loss,BLACK,13,23,-10,32,0,3.5139744,3.5047555,0.0033495,16,16,0.219047219,0.000209344,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,13,12,BLACK,WHITE,win,BLACK,19,17,2,33,1,3.9672359,3.9565646,0.003915399,17,16,0.232739094,0.000244712,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,14,13,WHITE,BLACK,win,WHITE,29,6,23,32,1,3.9189026,3.9080013,0.0038267,16,16,0.244250081,0.000239169,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,15,14,BLACK,WHITE,win,BLACK,25,11,14,33,1,4.091358,4.0802912,0.003825299,17,16,0.240017129,0.000239081,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,16,15,WHITE,BLACK,win,WHITE,23,13,10,32,0,3.7926528,3.7834875,0.0033092,16,16,0.236467969,0.000206825,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,17,16,BLACK,WHITE,loss,WHITE,12,24,-12,33,1,3.9493414,3.9398252,0.0031421,17,16,0.231754424,0.000196381,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,18,17,WHITE,BLACK,win,WHITE,25,11,14,34,2,3.6541148,3.644273399,0.0035138,17,17,0.214369023,0.000206694,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,19,18,BLACK,WHITE,win,BLACK,20,16,4,33,1,3.7889174,3.778826801,0.0033781,17,16,0.222283929,0.000211131,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,20,19,WHITE,BLACK,win,WHITE,19,17,2,32,0,3.5125157,3.5028051,0.0036359,16,16,0.218925319,0.000227244,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,21,20,BLACK,WHITE,win,BLACK,26,10,16,33,1,3.85872,3.8490146,0.0033221,17,16,0.226412624,0.000207631,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,22,21,WHITE,BLACK,win,WHITE,20,16,4,32,0,3.461663,3.4528106,0.0033315,16,16,0.215800662,0.000208219,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,23,22,BLACK,WHITE,win,BLACK,26,9,17,32,1,3.7241862,3.7147177,0.003308901,16,16,0.232169856,0.000206806,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,24,23,WHITE,BLACK,win,WHITE,32,4,28,32,0,3.5038817,3.4938793,0.0034517,16,16,0.218367456,0.000215731,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,25,24,BLACK,WHITE,win,BLACK,20,16,4,33,1,3.8258566,3.8163435,0.0031789,17,16,0.224490794,0.000198681,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,26,25,WHITE,BLACK,loss,BLACK,6,30,-24,33,1,3.6638539,3.654294,0.0033006,16,17,0.228393375,0.000194153,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,27,26,BLACK,WHITE,win,BLACK,21,15,6,33,1,3.6941206,3.6848421,0.0032572,17,16,0.216755418,0.000203575,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,28,27,WHITE,BLACK,win,WHITE,20,16,4,32,0,3.2974319,3.2887257,0.003093999,16,16,0.205545356,0.000193375,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,29,28,BLACK,WHITE,loss,WHITE,5,31,-26,32,0,3.6614624,3.6525208,0.0030904,16,16,0.22828255,0.00019315,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,30,29,WHITE,BLACK,win,WHITE,20,16,4,33,1,3.6278789,3.617832801,0.0034963,16,17,0.22611455,0.000205665,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,31,30,BLACK,WHITE,win,BLACK,24,12,12,33,1,3.8390665,3.8297298,0.0030926,17,16,0.225278224,0.000193288,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,32,31,WHITE,BLACK,win,WHITE,19,17,2,34,2,3.4875271,3.4780137,0.0033302,17,17,0.204589041,0.000195894,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,33,32,BLACK,WHITE,win,BLACK,29,7,22,35,3,3.8315322,3.822076499,0.0032,18,17,0.212337583,0.000188235,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,34,33,WHITE,BLACK,draw,DRAW,18,18,0,32,0,3.7564293,3.7470296,0.003417301,16,16,0.23418935,0.000213581,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,35,34,BLACK,WHITE,win,BLACK,22,14,8,32,0,3.852741,3.8429009,0.0034248,16,16,0.240181306,0.00021405,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,36,35,WHITE,BLACK,win,WHITE,19,17,2,33,1,3.4619818,3.4516003,0.0035378,16,17,0.215725019,0.000208106,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,37,36,BLACK,WHITE,win,BLACK,21,15,6,33,1,3.8694301,3.8600007,0.0033294,17,16,0.227058865,0.000208087,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,38,37,WHITE,BLACK,loss,BLACK,9,27,-18,34,2,3.8806788,3.8712299,0.0034632,17,17,0.227719406,0.000203718,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,39,38,BLACK,WHITE,win,BLACK,27,9,18,33,1,3.6937267,3.6825373,0.0039785,17,16,0.216619841,0.000248656,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,40,39,WHITE,BLACK,win,WHITE,22,14,8,34,2,3.4314047,3.421377901,0.0037539,17,17,0.201257524,0.000220818,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,41,40,BLACK,WHITE,win,BLACK,26,10,16,34,2,3.8359081,3.8259845,0.003180499,17,17,0.225057912,0.000187088,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,42,41,WHITE,BLACK,loss,BLACK,16,20,-4,32,0,3.4930763,3.4842572,0.0031655,16,16,0.217766075,0.000197844,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,43,42,BLACK,WHITE,loss,WHITE,4,32,-28,32,0,3.7838463,3.774925101,0.0030747,16,16,0.235932819,0.000192169,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,44,43,WHITE,BLACK,draw,DRAW,18,18,0,32,0,3.3027843,3.294324599,0.0029698,16,16,0.205895287,0.000185613,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,45,44,BLACK,WHITE,loss,WHITE,9,27,-18,32,0,3.725811,3.7167832,0.0032486,16,16,0.23229895,0.000203038,6,6,100,0.0
