status,experiment_name,comparison_file,game_index,seed,board_rows,board_cols,win_length,tested_agent_name,opponent_name,tested_agent_side,opponent_side,agent_x_name,agent_o_name,winner,outcome_for_tested_agent,moves_played,runtime_seconds,seconds_per_move,timestamp_start,timestamp_end,tested_agent_simulations,tested_agent_selection_policy,tested_agent_rollout_policy,tested_agent_use_tactical_guard,tested_agent_use_heuristic_expansion,opponent_simulations,opponent_selection_policy,opponent_rollout_policy,opponent_use_tactical_guard,opponent_use_heuristic_expansion,error_message
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,1,0,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,21,43.929686,2.091890,2026-07-22T21:45:29,2026-07-22T21:46:13,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,2,1,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",O,win,12,22.691239,1.890937,2026-07-22T21:46:13,2026-07-22T21:46:35,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,3,2,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,13,31.136421,2.395109,2026-07-22T21:46:35,2026-07-22T21:47:07,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,4,3,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",O,win,14,27.286969,1.949069,2026-07-22T21:47:07,2026-07-22T21:47:34,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,5,4,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,17,35.341406,2.078906,2026-07-22T21:47:34,2026-07-22T21:48:09,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,6,5,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",O,win,14,25.345396,1.810385,2026-07-22T21:48:09,2026-07-22T21:48:35,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,7,6,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,13,28.836701,2.218208,2026-07-22T21:48:35,2026-07-22T21:49:03,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,8,7,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",O,win,16,28.844532,1.802783,2026-07-22T21:49:03,2026-07-22T21:49:32,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,9,8,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,41,70.582709,1.721529,2026-07-22T21:49:32,2026-07-22T21:50:43,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,10,9,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",O,win,14,26.962152,1.925868,2026-07-22T21:50:43,2026-07-22T21:51:10,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,11,10,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,11,27.366643,2.487877,2026-07-22T21:51:10,2026-07-22T21:51:37,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,12,11,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",X,loss,17,32.835457,1.931497,2026-07-22T21:51:37,2026-07-22T21:52:10,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,13,12,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,17,52.501440,3.088320,2026-07-22T21:52:10,2026-07-22T21:53:02,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,14,13,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",O,win,14,26.575120,1.898223,2026-07-23T13:26:49,2026-07-23T13:27:16,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,15,14,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,17,35.887178,2.111010,2026-07-23T13:27:16,2026-07-23T13:27:52,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,16,15,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",O,win,16,25.967485,1.622968,2026-07-23T13:27:52,2026-07-23T13:28:18,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
