status,experiment_name,comparison_file,game_index,seed,board_rows,board_cols,win_length,tested_agent_name,opponent_name,tested_agent_side,opponent_side,agent_x_name,agent_o_name,winner,outcome_for_tested_agent,moves_played,runtime_seconds,seconds_per_move,timestamp_start,timestamp_end,tested_agent_simulations,tested_agent_selection_policy,tested_agent_rollout_policy,tested_agent_use_tactical_guard,tested_agent_use_heuristic_expansion,opponent_simulations,opponent_selection_policy,opponent_rollout_policy,opponent_use_tactical_guard,opponent_use_heuristic_expansion,error_message
ok,01_baseline_uct_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\01_baseline_uct_vs_tactical.py,1,0,7,7,4,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,loss,10,4.658846,0.465885,2026-07-21T14:10:17,2026-07-21T14:10:21,500,UCTSelectionPolicy,RandomAgent,False,False,,,,,,
ok,01_baseline_uct_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\01_baseline_uct_vs_tactical.py,2,1,7,7,4,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",X,loss,7,2.785808,0.397973,2026-07-21T14:10:21,2026-07-21T14:10:24,500,UCTSelectionPolicy,RandomAgent,False,False,,,,,,
ok,01_baseline_uct_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\01_baseline_uct_vs_tactical.py,3,2,7,7,4,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,loss,8,3.900459,0.487557,2026-07-21T14:10:24,2026-07-21T14:10:28,500,UCTSelectionPolicy,RandomAgent,False,False,,,,,,
ok,01_baseline_uct_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\01_baseline_uct_vs_tactical.py,4,3,7,7,4,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",X,loss,7,2.810607,0.401515,2026-07-21T14:10:28,2026-07-21T14:10:31,500,UCTSelectionPolicy,RandomAgent,False,False,,,,,,
ok,01_baseline_uct_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\01_baseline_uct_vs_tactical.py,5,4,7,7,4,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,loss,12,5.482388,0.456866,2026-07-21T14:10:31,2026-07-21T14:10:36,500,UCTSelectionPolicy,RandomAgent,False,False,,,,,,
ok,01_baseline_uct_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\01_baseline_uct_vs_tactical.py,6,5,7,7,4,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",X,loss,7,2.835281,0.405040,2026-07-21T14:10:36,2026-07-21T14:10:39,500,UCTSelectionPolicy,RandomAgent,False,False,,,,,,
ok,01_baseline_uct_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\01_baseline_uct_vs_tactical.py,7,6,7,7,4,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,loss,8,3.975157,0.496895,2026-07-21T14:10:39,2026-07-21T14:10:43,500,UCTSelectionPolicy,RandomAgent,False,False,,,,,,
ok,01_baseline_uct_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\01_baseline_uct_vs_tactical.py,8,7,7,7,4,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",X,loss,7,2.848497,0.406928,2026-07-21T14:10:43,2026-07-21T14:10:46,500,UCTSelectionPolicy,RandomAgent,False,False,,,,,,
ok,01_baseline_uct_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\01_baseline_uct_vs_tactical.py,9,8,7,7,4,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,loss,8,3.797481,0.474685,2026-07-21T14:10:46,2026-07-21T14:10:50,500,UCTSelectionPolicy,RandomAgent,False,False,,,,,,
ok,01_baseline_uct_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\01_baseline_uct_vs_tactical.py,10,9,7,7,4,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=UCTSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",X,loss,7,2.730868,0.390124,2026-07-21T14:10:50,2026-07-21T14:10:52,500,UCTSelectionPolicy,RandomAgent,False,False,,,,,,
