game_index	seed	status	tested_agent_side	opponent_side	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	error_message
1	0	ok	X	O	O	loss	10	4.658846	0.465885	UCTSelectionPolicy	RandomAgent	False	False	
2	1	ok	O	X	X	loss	7	2.785808	0.397973	UCTSelectionPolicy	RandomAgent	False	False	
3	2	ok	X	O	O	loss	8	3.900459	0.487557	UCTSelectionPolicy	RandomAgent	False	False	
4	3	ok	O	X	X	loss	7	2.810607	0.401515	UCTSelectionPolicy	RandomAgent	False	False	
5	4	ok	X	O	O	loss	12	5.482388	0.456866	UCTSelectionPolicy	RandomAgent	False	False	
6	5	ok	O	X	X	loss	7	2.835281	0.405040	UCTSelectionPolicy	RandomAgent	False	False	
7	6	ok	X	O	O	loss	8	3.975157	0.496895	UCTSelectionPolicy	RandomAgent	False	False	
8	7	ok	O	X	X	loss	7	2.848497	0.406928	UCTSelectionPolicy	RandomAgent	False	False	
9	8	ok	X	O	O	loss	8	3.797481	0.474685	UCTSelectionPolicy	RandomAgent	False	False	
10	9	ok	O	X	X	loss	7	2.730868	0.390124	UCTSelectionPolicy	RandomAgent	False	False	
11	10	ok	X	O	O	loss	8	3.895919	0.486990	UCTSelectionPolicy	RandomAgent	False	False	
12	11	ok	O	X	X	loss	7	2.866006	0.409429	UCTSelectionPolicy	RandomAgent	False	False	
13	12	ok	X	O	O	loss	8	3.815089	0.476886	UCTSelectionPolicy	RandomAgent	False	False	
14	13	ok	O	X	X	loss	7	2.772707	0.396101	UCTSelectionPolicy	RandomAgent	False	False	
15	14	ok	X	O	X	win	9	4.645091	0.516121	UCTSelectionPolicy	RandomAgent	False	False	
16	15	ok	O	X	X	loss	7	2.785587	0.397941	UCTSelectionPolicy	RandomAgent	False	False	
17	16	ok	X	O	O	loss	8	4.021075	0.502634	UCTSelectionPolicy	RandomAgent	False	False	
18	17	ok	O	X	X	loss	7	2.809200	0.401314	UCTSelectionPolicy	RandomAgent	False	False	
19	18	ok	X	O	O	loss	8	3.925081	0.490635	UCTSelectionPolicy	RandomAgent	False	False	
20	19	ok	O	X	X	loss	7	2.812708	0.401815	UCTSelectionPolicy	RandomAgent	False	False	
21	20	ok	X	O	O	loss	8	3.882529	0.485316	UCTSelectionPolicy	RandomAgent	False	False	
22	21	ok	O	X	X	loss	7	2.866285	0.409469	UCTSelectionPolicy	RandomAgent	False	False	
23	22	ok	X	O	O	loss	8	3.896873	0.487109	UCTSelectionPolicy	RandomAgent	False	False	
24	23	ok	O	X	X	loss	7	2.881395	0.411628	UCTSelectionPolicy	RandomAgent	False	False	
25	24	ok	X	O	O	loss	8	3.844071	0.480509	UCTSelectionPolicy	RandomAgent	False	False	
