status	experiment_name	comparison_file	game_index	seed	board_rows	board_cols	win_length	tested_agent_name	opponent_name	tested_agent_side	opponent_side	agent_x_name	agent_o_name	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	timestamp_start	timestamp_end	tested_agent_simulations	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	opponent_simulations	opponent_selection_policy	opponent_rollout_policy	opponent_use_tactical_guard	opponent_use_heuristic_expansion	error_message
ok	02_enhanced_uct_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\02_enhanced_uct_vs_tactical.py	1	0	7	7	4	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	loss	8	29.615843	3.701980	2026-07-21T16:55:56	2026-07-21T16:56:25	500	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True						
ok	02_enhanced_uct_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\02_enhanced_uct_vs_tactical.py	2	1	7	7	4	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	X	loss	7	39.008609	5.572658	2026-07-21T16:56:25	2026-07-21T16:57:04	500	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True						
ok	02_enhanced_uct_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\02_enhanced_uct_vs_tactical.py	3	2	7	7	4	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	loss	8	69.551051	8.693881	2026-07-21T16:57:04	2026-07-21T16:58:14	500	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True						
ok	02_enhanced_uct_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\02_enhanced_uct_vs_tactical.py	4	3	7	7	4	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	O	win	14	64.700550	4.621468	2026-07-21T16:58:14	2026-07-21T16:59:19	500	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True						
ok	02_enhanced_uct_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\02_enhanced_uct_vs_tactical.py	5	4	7	7	4	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	loss	8	69.274389	8.659299	2026-07-21T16:59:19	2026-07-21T17:00:28	500	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True						
ok	02_enhanced_uct_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\02_enhanced_uct_vs_tactical.py	6	5	7	7	4	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	O	win	20	88.344895	4.417245	2026-07-21T17:00:28	2026-07-21T17:01:56	500	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True						
ok	02_enhanced_uct_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\02_enhanced_uct_vs_tactical.py	7	6	7	7	4	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	win	13	68.345736	5.257364	2026-07-21T17:01:56	2026-07-21T17:03:04	500	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True						
ok	02_enhanced_uct_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\02_enhanced_uct_vs_tactical.py	8	7	7	7	4	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	X	loss	7	18.049621	2.578517	2026-07-21T17:03:04	2026-07-21T17:03:23	500	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True						
ok	02_enhanced_uct_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\02_enhanced_uct_vs_tactical.py	9	8	7	7	4	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	loss	14	40.652119	2.903723	2026-07-21T17:03:23	2026-07-21T17:04:03	500	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True						
ok	02_enhanced_uct_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\02_enhanced_uct_vs_tactical.py	10	9	7	7	4	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ProgressiveBiasUCTSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	O	win	14	32.126738	2.294767	2026-07-21T17:04:03	2026-07-21T17:04:35	500	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True						
