game_index	seed	status	tested_agent_side	opponent_side	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	error_message
1	0	ok	X	O	O	loss	8	29.615843	3.701980	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
2	1	ok	O	X	X	loss	7	39.008609	5.572658	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
3	2	ok	X	O	O	loss	8	69.551051	8.693881	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
4	3	ok	O	X	O	win	14	64.700550	4.621468	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
5	4	ok	X	O	O	loss	8	69.274389	8.659299	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
6	5	ok	O	X	O	win	20	88.344895	4.417245	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
7	6	ok	X	O	X	win	13	68.345736	5.257364	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
8	7	ok	O	X	X	loss	7	18.049621	2.578517	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
9	8	ok	X	O	O	loss	14	40.652119	2.903723	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
10	9	ok	O	X	O	win	14	32.126738	2.294767	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
11	10	ok	X	O	X	win	13	41.929659	3.225358	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
12	11	ok	O	X	O	win	16	35.494948	2.218434	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
13	12	ok	X	O	X	win	11	36.799350	3.345395	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
14	13	ok	O	X	X	loss	7	18.149898	2.592843	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
15	14	ok	X	O	O	loss	8	29.609615	3.701202	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
16	15	ok	O	X	X	loss	7	17.919338	2.559905	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
17	16	ok	X	O	X	win	13	41.921409	3.224724	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
18	17	ok	O	X	O	win	20	41.717915	2.085896	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
19	18	ok	X	O	O	loss	8	30.067491	3.758436	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
20	19	ok	O	X	X	loss	7	17.597352	2.513907	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
21	20	ok	X	O	X	win	13	41.471029	3.190079	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
