status,experiment_name,comparison_file,game_index,seed,board_rows,board_cols,win_length,tested_agent_name,opponent_name,tested_agent_side,opponent_side,agent_x_name,agent_o_name,winner,outcome_for_tested_agent,moves_played,runtime_seconds,seconds_per_move,timestamp_start,timestamp_end,tested_agent_simulations,tested_agent_selection_policy,tested_agent_rollout_policy,tested_agent_use_tactical_guard,tested_agent_use_heuristic_expansion,opponent_simulations,opponent_selection_policy,opponent_rollout_policy,opponent_use_tactical_guard,opponent_use_heuristic_expansion,error_message
ok,03_baseline_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\03_baseline_thompson_vs_tactical.py,1,0,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,loss,8,2.831289,0.353911,2026-07-22T20:27:25,2026-07-22T20:27:28,500,ThompsonSamplingSelectionPolicy,RandomAgent,False,False,,,,,,
ok,03_baseline_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\03_baseline_thompson_vs_tactical.py,2,1,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",X,loss,7,2.226163,0.318023,2026-07-22T20:27:28,2026-07-22T20:27:30,500,ThompsonSamplingSelectionPolicy,RandomAgent,False,False,,,,,,
ok,03_baseline_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\03_baseline_thompson_vs_tactical.py,3,2,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,loss,12,3.841994,0.320166,2026-07-22T20:27:30,2026-07-22T20:27:34,500,ThompsonSamplingSelectionPolicy,RandomAgent,False,False,,,,,,
ok,03_baseline_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\03_baseline_thompson_vs_tactical.py,4,3,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",X,loss,7,2.740829,0.391547,2026-07-22T20:27:34,2026-07-22T20:27:37,500,ThompsonSamplingSelectionPolicy,RandomAgent,False,False,,,,,,
ok,03_baseline_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\03_baseline_thompson_vs_tactical.py,5,4,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,loss,8,3.071666,0.383958,2026-07-22T20:27:37,2026-07-22T20:27:40,500,ThompsonSamplingSelectionPolicy,RandomAgent,False,False,,,,,,
ok,03_baseline_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\03_baseline_thompson_vs_tactical.py,6,5,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",X,loss,7,2.024039,0.289148,2026-07-22T20:27:40,2026-07-22T20:27:42,500,ThompsonSamplingSelectionPolicy,RandomAgent,False,False,,,,,,
ok,03_baseline_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\03_baseline_thompson_vs_tactical.py,7,6,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,loss,8,2.967085,0.370886,2026-07-22T20:27:42,2026-07-22T20:27:45,500,ThompsonSamplingSelectionPolicy,RandomAgent,False,False,,,,,,
ok,03_baseline_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\03_baseline_thompson_vs_tactical.py,8,7,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",X,loss,7,2.055358,0.293623,2026-07-22T20:27:45,2026-07-22T20:27:47,500,ThompsonSamplingSelectionPolicy,RandomAgent,False,False,,,,,,
ok,03_baseline_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\03_baseline_thompson_vs_tactical.py,9,8,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,loss,8,2.719814,0.339977,2026-07-22T20:27:47,2026-07-22T20:27:50,500,ThompsonSamplingSelectionPolicy,RandomAgent,False,False,,,,,,
ok,03_baseline_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\03_baseline_thompson_vs_tactical.py,10,9,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=RandomAgent, guard=False, heuristic_expansion=False)",X,loss,7,2.010684,0.287241,2026-07-22T20:27:50,2026-07-22T20:27:52,500,ThompsonSamplingSelectionPolicy,RandomAgent,False,False,,,,,,
