game_index	seed	status	tested_agent_side	opponent_side	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	error_message
1	0	ok	X	O	O	loss	8	2.831289	0.353911	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
2	1	ok	O	X	X	loss	7	2.226163	0.318023	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
3	2	ok	X	O	O	loss	12	3.841994	0.320166	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
4	3	ok	O	X	X	loss	7	2.740829	0.391547	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
5	4	ok	X	O	O	loss	8	3.071666	0.383958	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
6	5	ok	O	X	X	loss	7	2.024039	0.289148	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
7	6	ok	X	O	O	loss	8	2.967085	0.370886	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
8	7	ok	O	X	X	loss	7	2.055358	0.293623	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
9	8	ok	X	O	O	loss	8	2.719814	0.339977	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
10	9	ok	O	X	X	loss	7	2.010684	0.287241	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
11	10	ok	X	O	X	win	13	5.101516	0.392424	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
12	11	ok	O	X	X	loss	7	2.850275	0.407182	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
13	12	ok	X	O	O	loss	8	3.829848	0.478731	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
14	13	ok	O	X	X	loss	7	6.404952	0.914993	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
15	14	ok	X	O	O	loss	12	11.300917	0.941743	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
16	15	ok	O	X	X	loss	7	5.327718	0.761103	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
17	16	ok	X	O	O	loss	8	7.692884	0.961610	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
18	17	ok	O	X	X	loss	7	6.564256	0.937751	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
19	18	ok	X	O	O	loss	10	5.809856	0.580986	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
20	19	ok	O	X	X	loss	11	4.581805	0.416528	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
21	20	ok	X	O	O	loss	12	5.409100	0.450758	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
22	21	ok	O	X	X	loss	7	2.856619	0.408088	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
23	22	ok	X	O	O	loss	8	3.838767	0.479846	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
24	23	ok	O	X	X	loss	7	2.849124	0.407018	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
25	24	ok	X	O	O	loss	8	3.871059	0.483882	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
26	25	ok	O	X	X	loss	7	2.841470	0.405924	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
27	26	ok	X	O	O	loss	10	4.530507	0.453051	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
28	27	ok	O	X	X	loss	7	2.885637	0.412234	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
29	28	ok	X	O	O	loss	12	5.377848	0.448154	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
30	29	ok	O	X	X	loss	7	2.812586	0.401798	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
31	30	ok	X	O	O	loss	8	3.836429	0.479554	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
32	31	ok	O	X	X	loss	7	2.795015	0.399288	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
33	32	ok	X	O	O	loss	8	3.778378	0.472297	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
34	33	ok	O	X	X	loss	7	2.813331	0.401904	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
35	34	ok	X	O	O	loss	8	3.690610	0.461326	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
36	35	ok	O	X	X	loss	7	2.862165	0.408881	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
37	36	ok	X	O	X	win	13	5.795987	0.445845	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
38	37	ok	O	X	X	loss	7	2.758379	0.394054	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
39	38	ok	X	O	O	loss	8	3.784632	0.473079	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
40	39	ok	O	X	X	loss	7	2.805234	0.400748	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
41	40	ok	X	O	O	loss	8	3.899470	0.487434	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
42	41	ok	O	X	X	loss	7	2.835035	0.405005	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
43	42	ok	X	O	O	loss	10	4.748885	0.474889	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
44	43	ok	O	X	X	loss	7	2.803031	0.400433	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
45	44	ok	X	O	O	loss	8	3.833061	0.479133	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
46	45	ok	O	X	X	loss	7	2.776215	0.396602	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
47	46	ok	X	O	O	loss	8	3.792477	0.474060	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
48	47	ok	O	X	X	loss	7	2.877413	0.411059	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
49	48	ok	X	O	O	loss	8	3.760300	0.470038	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
50	49	ok	O	X	X	loss	7	2.913819	0.416260	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
51	50	ok	X	O	O	loss	8	3.980499	0.497562	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
52	51	ok	O	X	X	loss	7	2.774978	0.396425	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
53	52	ok	X	O	O	loss	8	3.838900	0.479863	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
54	53	ok	O	X	X	loss	7	2.850142	0.407163	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
55	54	ok	X	O	O	loss	8	3.810939	0.476367	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
56	55	ok	O	X	X	loss	7	2.797192	0.399599	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
57	56	ok	X	O	O	loss	8	3.852352	0.481544	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
58	57	ok	O	X	X	loss	7	2.773931	0.396276	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
59	58	ok	X	O	O	loss	12	5.310888	0.442574	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
60	59	ok	O	X	X	loss	9	3.751564	0.416840	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
61	60	ok	X	O	O	loss	8	3.766206	0.470776	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
62	61	ok	O	X	X	loss	7	2.800938	0.400134	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
63	62	ok	X	O	O	loss	10	4.719851	0.471985	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
64	63	ok	O	X	X	loss	7	2.812039	0.401720	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
65	64	ok	X	O	O	loss	8	3.819891	0.477486	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
66	65	ok	O	X	X	loss	7	2.856021	0.408003	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
67	66	ok	X	O	O	loss	8	3.770466	0.471308	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
68	67	ok	O	X	X	loss	7	2.824957	0.403565	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
69	68	ok	X	O	O	loss	8	3.824074	0.478009	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
70	69	ok	O	X	X	loss	7	2.745870	0.392267	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
71	70	ok	X	O	O	loss	8	3.745354	0.468169	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
72	71	ok	O	X	X	loss	7	2.797978	0.399711	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
73	72	ok	X	O	X	win	15	6.290489	0.419366	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
74	73	ok	O	X	X	loss	7	2.850031	0.407147	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
75	74	ok	X	O	O	loss	12	5.316901	0.443075	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
76	75	ok	O	X	X	loss	7	2.793253	0.399036	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
77	76	ok	X	O	O	loss	8	3.878502	0.484813	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
78	77	ok	O	X	X	loss	7	2.828190	0.404027	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
79	78	ok	X	O	O	loss	8	3.767549	0.470944	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
80	79	ok	O	X	X	loss	7	2.987771	0.426824	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
81	80	ok	X	O	O	loss	8	3.922056	0.490257	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
82	81	ok	O	X	X	loss	7	2.824984	0.403569	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
83	82	ok	X	O	O	loss	8	3.844149	0.480519	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
84	83	ok	O	X	X	loss	7	2.834140	0.404877	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
85	84	ok	X	O	X	win	9	4.107052	0.456339	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
86	85	ok	O	X	X	loss	7	2.857094	0.408156	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
87	86	ok	X	O	O	loss	14	6.081119	0.434366	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
88	87	ok	O	X	X	loss	7	2.846831	0.406690	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
89	88	ok	X	O	O	loss	10	4.590194	0.459019	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
90	89	ok	O	X	X	loss	7	2.830379	0.404340	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
