status	experiment_name	comparison_file	game_index	seed	board_rows	board_cols	win_length	tested_agent_name	opponent_name	tested_agent_side	opponent_side	agent_x_name	agent_o_name	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	timestamp_start	timestamp_end	tested_agent_simulations	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	opponent_simulations	opponent_selection_policy	opponent_rollout_policy	opponent_use_tactical_guard	opponent_use_heuristic_expansion	error_message
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	1	0	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	win	21	47.094466	2.242594	2026-07-21T18:00:28	2026-07-21T18:01:15	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	2	1	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	O	win	12	26.256842	2.188070	2026-07-21T18:01:15	2026-07-21T18:01:41	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	3	2	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	win	13	34.492255	2.653250	2026-07-21T18:01:41	2026-07-21T18:02:16	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	4	3	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	O	win	14	31.037639	2.216974	2026-07-21T18:02:16	2026-07-21T18:02:47	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	1	0	7	7	4	MCTSAgent(sim=700, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=700, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	win	13	47.366452	3.643573	2026-07-21T18:03:33	2026-07-21T18:04:20	700	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	5	4	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	win	17	36.811620	2.165389	2026-07-21T18:12:38	2026-07-21T18:13:15	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	6	5	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	O	win	14	26.421074	1.887220	2026-07-21T18:13:15	2026-07-21T18:13:41	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	7	6	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	win	13	29.558946	2.273765	2026-07-21T18:13:41	2026-07-21T18:14:11	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	8	7	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	O	win	16	29.832617	1.864539	2026-07-21T18:14:11	2026-07-21T18:14:41	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	9	8	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	win	41	73.425535	1.790867	2026-07-21T18:14:41	2026-07-21T18:15:54	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
