game_index	seed	status	tested_agent_side	opponent_side	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	error_message
1	0	ok	X	O	X	win	21	47.094466	2.242594	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
2	1	ok	O	X	O	win	12	26.256842	2.188070	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
3	2	ok	X	O	X	win	13	34.492255	2.653250	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
4	3	ok	O	X	O	win	14	31.037639	2.216974	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
1	0	ok	X	O	X	win	13	47.366452	3.643573	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
5	4	ok	X	O	X	win	17	36.811620	2.165389	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
6	5	ok	O	X	O	win	14	26.421074	1.887220	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
7	6	ok	X	O	X	win	13	29.558946	2.273765	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
8	7	ok	O	X	O	win	16	29.832617	1.864539	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
9	8	ok	X	O	X	win	41	73.425535	1.790867	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
10	9	ok	O	X	O	win	14	28.850193	2.060728	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
11	10	ok	X	O	X	win	11	31.814953	2.892268	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
12	11	ok	O	X	X	loss	17	34.482463	2.028380	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
13	12	ok	X	O	X	win	17	38.468822	2.262872	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
14	13	ok	O	X	O	win	14	26.196618	1.871187	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
15	14	ok	X	O	X	win	17	39.428685	2.319334	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
16	15	ok	O	X	O	win	16	32.322782	2.020174	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
17	16	ok	X	O	X	win	13	35.540876	2.733914	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
18	17	ok	O	X	O	win	14	29.264355	2.090311	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
19	18	ok	X	O	X	win	25	62.067482	2.482699	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
20	19	ok	O	X	O	win	14	29.942323	2.138737	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
21	20	ok	X	O	X	win	21	49.662487	2.364880	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
22	21	ok	O	X	O	win	20	29.587574	1.479379	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
23	22	ok	X	O	X	win	13	34.404653	2.646512	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
24	23	ok	O	X	O	win	16	33.707039	2.106690	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
25	24	ok	X	O	X	win	11	33.512531	3.046594	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
26	25	ok	O	X	O	win	14	29.536110	2.109722	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
27	26	ok	X	O	X	win	17	40.358472	2.374028	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
28	27	ok	O	X	O	win	20	31.355915	1.567796	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
29	28	ok	X	O	X	win	17	74.350942	4.373585	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
30	29	ok	O	X	O	win	16	72.374682	4.523418	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
31	30	ok	X	O	X	win	13	33.980933	2.613918	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
32	31	ok	O	X	O	win	14	26.300187	1.878585	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
33	32	ok	X	O	X	win	21	45.540198	2.168581	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
34	33	ok	O	X	O	win	14	28.022071	2.001576	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
35	34	ok	X	O	X	win	13	33.419449	2.570727	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
36	35	ok	O	X	O	win	14	27.846565	1.989040	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
37	36	ok	X	O	X	win	25	55.175643	2.207026	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
38	37	ok	O	X	O	win	12	23.499352	1.958279	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
