status,experiment_name,comparison_file,game_index,seed,board_rows,board_cols,win_length,tested_agent_name,opponent_name,tested_agent_side,opponent_side,agent_x_name,agent_o_name,winner,outcome_for_tested_agent,moves_played,runtime_seconds,seconds_per_move,timestamp_start,timestamp_end,tested_agent_simulations,tested_agent_selection_policy,tested_agent_exploration_constant,tested_agent_heuristic_weight,tested_agent_thompson_prior_alpha,tested_agent_thompson_prior_beta,tested_agent_rollout_policy,tested_agent_use_tactical_guard,tested_agent_use_heuristic_expansion,tested_agent_use_fork_detection,opponent_simulations,opponent_selection_policy,opponent_exploration_constant,opponent_heuristic_weight,opponent_thompson_prior_alpha,opponent_thompson_prior_beta,opponent_rollout_policy,opponent_use_tactical_guard,opponent_use_heuristic_expansion,opponent_use_fork_detection,error_message
ok,18_simple_uct_c_sqrt2_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,1,0,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,DRAW,draw,49,13.701475,0.279622,2026-08-08T16:26:22,2026-08-08T16:26:36,400,UCTSelectionPolicy,1.4142135623730951,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_sqrt2_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,2,1,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",O,win,18,7.784104,0.432450,2026-08-08T16:26:36,2026-08-08T16:26:43,400,UCTSelectionPolicy,1.4142135623730951,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_sqrt2_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,3,2,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,win,19,8.416499,0.442974,2026-08-08T16:26:43,2026-08-08T16:26:52,400,UCTSelectionPolicy,1.4142135623730951,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_sqrt2_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,4,3,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,25,9.131742,0.365270,2026-08-08T16:26:52,2026-08-08T16:27:01,400,UCTSelectionPolicy,1.4142135623730951,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_sqrt2_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,5,4,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,win,15,7.151076,0.476738,2026-08-08T16:27:01,2026-08-08T16:27:08,400,UCTSelectionPolicy,1.4142135623730951,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_sqrt2_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,6,5,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",O,win,12,5.883578,0.490298,2026-08-08T16:27:08,2026-08-08T16:27:14,400,UCTSelectionPolicy,1.4142135623730951,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_sqrt2_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,7,6,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,loss,22,9.209667,0.418621,2026-08-08T16:27:14,2026-08-08T16:27:23,400,UCTSelectionPolicy,1.4142135623730951,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_sqrt2_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,8,7,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,17,6.920679,0.407099,2026-08-08T16:27:23,2026-08-08T16:27:30,400,UCTSelectionPolicy,1.4142135623730951,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_sqrt2_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,9,8,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,loss,20,8.694329,0.434716,2026-08-08T16:27:30,2026-08-08T16:27:39,400,UCTSelectionPolicy,1.4142135623730951,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_sqrt2_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,10,9,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1.414, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,21,8.663459,0.412546,2026-08-08T16:27:39,2026-08-08T16:27:48,400,UCTSelectionPolicy,1.4142135623730951,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
